sample,run_accession,instrument_platform,fastq_1,fastq_2,fasta
SAMEA115784901,ERR13332287,ILLUMINA,/home/prasad/Documents/Work/Prasad_NFCORE_TEST_2025/PRJEB76668_MG/RAW_DATA/GAPR10100767ST.filtered.pair.1.fq.gz,/home/prasad/Documents/Work/Prasad_NFCORE_TEST_2025/PRJEB76668_MG/RAW_DATA/GAPR10100767ST.filtered.pair.2.fq.gz,
SAMEA115784956,ERR13332342,ILLUMINA,/home/prasad/Documents/Work/Prasad_NFCORE_TEST_2025/PRJEB76668_MG/RAW_DATA/GAPR13191473ST.filtered.pair.1.fq.gz,/home/prasad/Documents/Work/Prasad_NFCORE_TEST_2025/PRJEB76668_MG/RAW_DATA/GAPR13191473ST.filtered.pair.2.fq.gz,
SAMEA115784912,ERR13332298,ILLUMINA,/home/prasad/Documents/Work/Prasad_NFCORE_TEST_2025/PRJEB76668_MG/RAW_DATA/GAPR18855541ST.filtered.pair.1.fq.gz,/home/prasad/Documents/Work/Prasad_NFCORE_TEST_2025/PRJEB76668_MG/RAW_DATA/GAPR18855541ST.filtered.pair.2.fq.gz,
SAMEA115784836,ERR13332222,ILLUMINA,/home/prasad/Documents/Work/Prasad_NFCORE_TEST_2025/PRJEB76668_MG/RAW_DATA/GAPR19222901ST.filtered.pair.1.fq.gz,/home/prasad/Documents/Work/Prasad_NFCORE_TEST_2025/PRJEB76668_MG/RAW_DATA/GAPR19222901ST.filtered.pair.2.fq.gz,
SAMEA115784857,ERR13332243,ILLUMINA,/home/prasad/Documents/Work/Prasad_NFCORE_TEST_2025/PRJEB76668_MG/RAW_DATA/GAPR23286514ST.filtered.pair.1.fq.gz,/home/prasad/Documents/Work/Prasad_NFCORE_TEST_2025/PRJEB76668_MG/RAW_DATA/GAPR23286514ST.filtered.pair.2.fq.gz,
SAMEA115784843,ERR13332229,ILLUMINA,/home/prasad/Documents/Work/Prasad_NFCORE_TEST_2025/PRJEB76668_MG/RAW_DATA/GAPR26077379ST.filtered.pair.1.fq.gz,/home/prasad/Documents/Work/Prasad_NFCORE_TEST_2025/PRJEB76668_MG/RAW_DATA/GAPR26077379ST.filtered.pair.2.fq.gz,
SAMEA115784928,ERR13332314,ILLUMINA,/home/prasad/Documents/Work/Prasad_NFCORE_TEST_2025/PRJEB76668_MG/RAW_DATA/GAPR26207096ST.filtered.pair.1.fq.gz,/home/prasad/Documents/Work/Prasad_NFCORE_TEST_2025/PRJEB76668_MG/RAW_DATA/GAPR26207096ST.filtered.pair.2.fq.gz,
SAMEA115784926,ERR13332312,ILLUMINA,/home/prasad/Documents/Work/Prasad_NFCORE_TEST_2025/PRJEB76668_MG/RAW_DATA/GAPR27578794ST.filtered.pair.1.fq.gz,/home/prasad/Documents/Work/Prasad_NFCORE_TEST_2025/PRJEB76668_MG/RAW_DATA/GAPR27578794ST.filtered.pair.2.fq.gz,
SAMEA115784891,ERR13332277,ILLUMINA,/home/prasad/Documents/Work/Prasad_NFCORE_TEST_2025/PRJEB76668_MG/RAW_DATA/GAPR29622952ST.filtered.pair.1.fq.gz,/home/prasad/Documents/Work/Prasad_NFCORE_TEST_2025/PRJEB76668_MG/RAW_DATA/GAPR29622952ST.filtered.pair.2.fq.gz,
SAMEA115784988,ERR13332374,ILLUMINA,/home/prasad/Documents/Work/Prasad_NFCORE_TEST_2025/PRJEB76668_MG/RAW_DATA/GAPR30375958ST.filtered.pair.1.fq.gz,/home/prasad/Documents/Work/Prasad_NFCORE_TEST_2025/PRJEB76668_MG/RAW_DATA/GAPR30375958ST.filtered.pair.2.fq.gz,
SAMEA115784970,ERR13332356,ILLUMINA,/home/prasad/Documents/Work/Prasad_NFCORE_TEST_2025/PRJEB76668_MG/RAW_DATA/GAPR31116111ST.filtered.pair.1.fq.gz,/home/prasad/Documents/Work/Prasad_NFCORE_TEST_2025/PRJEB76668_MG/RAW_DATA/GAPR31116111ST.filtered.pair.2.fq.gz,
SAMEA115784981,ERR13332367,ILLUMINA,/home/prasad/Documents/Work/Prasad_NFCORE_TEST_2025/PRJEB76668_MG/RAW_DATA/GAPR34714184ST.filtered.pair.1.fq.gz,/home/prasad/Documents/Work/Prasad_NFCORE_TEST_2025/PRJEB76668_MG/RAW_DATA/GAPR34714184ST.filtered.pair.2.fq.gz,
SAMEA115784971,ERR13332357,ILLUMINA,/home/prasad/Documents/Work/Prasad_NFCORE_TEST_2025/PRJEB76668_MG/RAW_DATA/GAPR34983509ST.filtered.pair.1.fq.gz,/home/prasad/Documents/Work/Prasad_NFCORE_TEST_2025/PRJEB76668_MG/RAW_DATA/GAPR34983509ST.filtered.pair.2.fq.gz,
SAMEA115784844,ERR13332230,ILLUMINA,/home/prasad/Documents/Work/Prasad_NFCORE_TEST_2025/PRJEB76668_MG/RAW_DATA/GAPR35845127ST.filtered.pair.1.fq.gz,/home/prasad/Documents/Work/Prasad_NFCORE_TEST_2025/PRJEB76668_MG/RAW_DATA/GAPR35845127ST.filtered.pair.2.fq.gz,
SAMEA115784856,ERR13332242,ILLUMINA,/home/prasad/Documents/Work/Prasad_NFCORE_TEST_2025/PRJEB76668_MG/RAW_DATA/GAPR36937280ST.filtered.pair.1.fq.gz,/home/prasad/Documents/Work/Prasad_NFCORE_TEST_2025/PRJEB76668_MG/RAW_DATA/GAPR36937280ST.filtered.pair.2.fq.gz,
SAMEA115784882,ERR13332268,ILLUMINA,/home/prasad/Documents/Work/Prasad_NFCORE_TEST_2025/PRJEB76668_MG/RAW_DATA/GAPR42309257ST.filtered.pair.1.fq.gz,/home/prasad/Documents/Work/Prasad_NFCORE_TEST_2025/PRJEB76668_MG/RAW_DATA/GAPR42309257ST.filtered.pair.2.fq.gz,
